Nombre,Indice,Valido desde,Grupo de impuesto
Prestación servicios nacional 21% -24%R,21,2016-01-01,IVA Normal Servicios
Prestación servicios nacional 21% -24%R (+21%),21,2016-01-01,IVA Normal Servicios
Prestación servicios nacional 21% -24%R (-24%),-24,2016-01-01,IVA Normal Servicios
Prestación servicios nacional 21% -7%R,21,2015-07-12,IVA Normal Servicios
Prestación servicios nacional 21% -7%R (+21%),21,2015-07-12,IVA Normal Servicios
Prestación servicios nacional 21% -7%R (-7%),-7,2015-07-12,IVA Normal Servicios
Prestación servicios nacional 21% -9%R,21,2012-09-01,IVA Normal Servicios
Prestación servicios nacional 21% -9%R (+21%),21,2012-09-01,IVA Normal Servicios
Prestación servicios nacional 21% -9%R (-9%),-9,2012-09-01,IVA Normal Servicios
Prestación servicios nacional 4%,4,2001-01-01,IVA Super Reducido Servicios
Prestación servicios nacional 4% - 9%R,4,2012-09-01,IVA Super Reducido Servicios
Prestación servicios nacional 4% -9%R (+4%),4,2012-09-01,IVA Super Reducido Servicios
Prestación servicios nacional 4% -9%R (-9%),-9,2012-09-01,IVA Super Reducido Servicios
Prestación servicios nacional 5%,5,2022-07-01,IVA Super Reducido Servicios
Prestación servicios no residente 0% -19%R,0,2016-01-01,Exento Servicios
Prestación servicios no residente 0% -19%R (0%),0,2016-01-01,Exento Servicios
Prestación servicios no residente 0% -19%R (-19%),-19,2016-01-01,Exento Servicios
Prestación servicios no sujetas,0,2000-01-01,No Sujeto Servicios
Prestación servicios profesionales nacional 0% -15%R,0,2015-07-12,Exento Servicios
Prestación servicios profesionales nacional 0% -15%R (0%),0,2015-07-12,Exento Servicios
Prestación servicios profesionales nacional 0% -15%R (-15%),-15,2015-07-12,Exento Servicios
"Servicios a Canarias, Ceuta y Melilla (%N=>0%)",0,2000-01-01,IVA Normal Servicios
"Servicios a Canarias, Ceuta y Melilla (%R=>0%)",0,2000-01-01,IVA Reducido Servicios
"Servicios a Canarias, Ceuta y Melilla (%SR=>0%)",0,2000-01-01,IVA Super Reducido Servicios
Servicios prestados en Canarias 15%,15,2020-01-01,IGIC Incrementado 2 Servicios
Servicios prestados en Canarias 3%,3,2012-07-01,IGIC Reducido Servicios
Servicios prestados en Canarias 7%,7,2020-01-01,IGIC General Servicios
Servicios prestados en Canarias 9.5%,9.5,2012-07-01,IGIC Incrementado 1 Servicios
Servicios prestados en Ceuta/Melilla 10%,10,2012-07-01,IPSI Incrementado 1 Servicios
Servicios prestados en Ceuta/Melilla 4%,4,2012-07-01,IPSI General Servicios
Servicios prestados exentos con derecho a deducción,0,2000-01-01,Exento Servicios
Servicios prestados exentos sin derecho a deducción,0,2001-01-01,Exento Servicios
Servicios prestados internacional (%N=>0%),0,2001-01-01,IVA Normal Servicios
Servicios prestados internacional (%R=>0%),0,2001-01-01,IVA Reducido Servicios
Servicios prestados nacional 0%,0,9999-01-01,IVA Cero Servicios
Servicios prestados nacional 10%,10,2012-09-01,IVA Reducido Servicios
Servicios prestados nacional 21%,21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21% -15%R,21,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -15%R (-15%),-15,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -15%R (+21%),21,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -19%R,21,2015-01-01,IVA Normal Servicios
Servicios prestados nacional 21% -19%R (-19%),-19,2015-01-01,IVA Normal Servicios
Servicios prestados nacional 21% -19%R (+21%),21,2015-01-01,IVA Normal Servicios
Servicios prestados nacional 21% -21%R,21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21% -21%R (+21%),21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21% -21%R (-21%),-21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21%-24%R,0,2016-01-01,IVA Normal Servicios
Servicios prestados nacional 21%-24%R (+21%),21,2016-01-01,IVA Normal Servicios
Servicios prestados nacional 21%-24%R (-24%),-24,2016-01-01,IVA Normal Servicios
Servicios prestados nacional 21% -7%R,21,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -7%R (+21%),21,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -7%R (-7%),-7,2015-07-12,IVA Normal Servicios
Servicios prestados nacional 21% -9%R,21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21% -9%R (+21%),21,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 21% -9%R (-9%),-9,2012-09-01,IVA Normal Servicios
Servicios prestados nacional 4%,4,2001-01-01,IVA Super Reducido Servicios
Servicios prestados nacional 5%,5,2022-07-01,IVA Super Reducido Servicios
Servicios prestados no sujetos con dcho deducción,0,2001-01-01,No Sujeto Servicios
Servicios prestados UE (%N=>0%),0,2001-01-01,IVA Normal Servicios
Servicios prestados UE (%R=>0%),0,2001-01-01,IVA Reducido Servicios
Transmisión B.Inmuebles 10%,10,2012-09-01,IVA Reducido B.Inmuebles
Transmisión B.Inmuebles 21%,21,2012-09-01,IVA Normal B.Inmuebles
